,Question,Answer
0,I love you RTP,love you more
1,Are most people doing Wintersession or just staying home and Vibing?,Response from Chewy:A good amount of people are doing each.
2,What do people wear for senior prom?,Response from Olive:I would think any kind of typical prom attire would be okay but maybe dress a bit lighter since Dillon will probably be hot when it happens 
3,"applying to the japan global seminar. a little unsure of if i should try to tailor my resume?? i am a cos major, so my resume is more tech focused. the only things on there that relate to the seminar is my coursework, my intended certificate in EAS, and (maybe?) a translating position for TED Talks","Response from Olive:I think what you mentioned should be sufficient to add if it isn’t much work to change up your resume, but you could also mention them elsewhere in the application if there’s space for it. I think most seminars highly value student interest so getting that across is really important "
4,when does add drop start for spring?,Response from Olive:the 23rd
5,"hi there, class of '21; i had never really considered grad school during my time at princeton, so no i never really focused on building strong relationships with professors and doing extra work in related fields of interest. however, since graduating im starting to really consider the possibility of grad school. does anyone have ideas/suggestions about how to navigate such a situation, especially if i didn't build close relationships with professors in undergrad?","Response from Chewy:You can email some professors who have taught you in your field of interest about your interest in grad school and if they’d be willing to discuss this opportunity with you, but you may need to follow up with them often to get a response.Recommendation letters can also come from work supervisors who can vouch for your skills applicable to grad school. You can also ask for projects if your work is related to your field of interest.It is very possible to get into grad school with a couple of years of work experience! You will be in good hands if your passion for research shines through."
6,which courses/departments have the worst grade deflation?,"Response from Chewy:It’s hard to say since grade deflation can often be confused with classes that are graded harshly or have a different curving system.Some classes have a higher threshold for an A as a 94 or 95 instead of a 93, for example, but we aren’t sure which departments mandate that entirely across classes. Other departments with low GPAs, such as engineering and chemistry, are often very difficult, which isn’t grade deflation but rather the nature of the subject.You can take a look at the below link for GPAs per department.The decline and fall of grade deflation"
7,Will I be able to receive packages during wintersession?,Response from Chewy:Yup.
8,favorite places to buy affordable business casual?,"Response from Ocean:Thrift stores – Greene Street especially has this kind of stuff, but also Nearly New, Goodwill, or whatever your local thrift store is. I also shop sales/markdowns at the higher-end stores, my favorite being Banana Republic because they always have a clearance section with good markdowns and because they specifically carry a size range that works for me. readers? "
9,"tips for applying to study abroad programs (more specifically, the summer language learning programs)? I haven’t applied to any programs or study abroad as a freshman and I’m not sure what I can write about in essays etc… so any advice would be much appreciated! also wondering if I’m allowed to get a recommendation from a prof in the language department of the country which I’m applying to (granted I’ve taken a course in the dept) or if I should ask a prof/preceptor of a different course?","Response from Ocean:Yes, you can get a rec from a prof in the language dept of the program you’re applying to (as long as it doesn’t specifically say that you can’t, but I think that would be a bit weird). Usually they recruit students already taking courses in those depts anyway.Make sure you’ve completed the minimum requirements before you apply, for the language programs there are usually prerecs (typically 1-2 years worth of courses in the dept, but if you tested out then that counts too). As for what to write–just talk about why you want to take the course! Speak a little bit about how it fits into your academic goals and plans, especially if you plan to continue with the language or use information about the language/country in your future studies or independent work. (As a freshman, it’s a bit early to be thinking about independent work, but if anything comes to mind related to the program then that would be useful to add. Obviously they’re not going to hold you to it 2-3 years later.)If your studies are totally unrelated to the language/country, speak about why you’re interested, why you study the language, and what you might bring to the classroom in terms of a different perspective, etc. "
10,"I'm interested in Princeton's summer program Kierkegaard in Copenhagen and will likely apply.  Do you happen to know how selective the program is -- acceptance rate and/or number of students who attend?  Also what's it like -- are the lectures interesting/challenging?  How heavy is the workload?  Any feedback on residential life -- dorms, dining, people etc.  Lastly, any advice on the application?  Thanks!","Response from Ocean:From what I can tell based on a quick Google search, the last time this course was offered was Summer 2019. Even I wasn’t at Princeton then, and I’m an ancient senior. As for selectivity, it will really depend on how many students apply, which can’t really be accurately predicted after a 4 year gap (and since these things change year to year). If you’re interested though, I’d encourage you to apply! You can also email the contacts in OIP or the professor to ask more specific questions. Here’s the course brochure in GPS with more info. "
11,"Actually fuck the grade deflation here yo. I really, really wish I went to Brown now. OOF","Response from Chewy:Princeton is quite tough, so it’s ok to feel this! GPA doesn’t really matter compared to your research and leadership in extracurricular activities toward your success in grad school, jobs, or anything else you’re considering. Many classes here will give many As, so ask around!"
12,What happens if I call the CPS CARES line? Should I use a fake Caller ID?,"Response from Olive:don’t think we have experience with this since it’s a relatively new resource, but you could do that or use other methods of anonymous calling like *67 to hide your number. I think in any scenario they would only ever report you if they have reason to believe that you would actually go through with an attempt rather than just expressing you have a feeling to do so"
13,have any seniors received tigerstay confirmation? they said you should receive confirmation within a few business days and I submitted the form within the first three minutes and they didn't close the form until the next day so just wondering if I was quick enough lol,Response from Chewy:I got a tigerstay confirmation after my submission. It should come from the email tigerstay@princeton.edu. Check your spam just in case.
14,Are there good spaces on campus to do virtual therapy appointments? I have roommates so I’m not sure I will be able to do them in my room,Response from Olive:the usg put out this resource last spring
15,should all final grades be finalized already or are changes still being made? if so then when is the final final deadline?,"Response from Chewy:Grades should’ve been finalized by 1/9, so if they haven’t been posted, you can request an update from your professor regarding this issue."
16,"Translation is unique because translation is the best. You learn theory in some classes, practice in otheds, and discover real-world stakes of the presence and absence of compassion in translation and the devastating or life-improving effects it could have.",thanks for your perspective!
17,what's unique about Translation and Intercultural Communication majors at Princeton?,"readers?Response from Ocean:Translation & Intercultural Communication isn’t a major at Princeton, it’s a certificate. I’m getting the certificate, and I enjoyed it very much. The classes are very interesting and engaging with amazing professors that help tailor the courses specifically to the strengths and knowledge of the students in the class. Because of Princeton’s small class sizes, this works really well and the program is shaped around the principles of small seminars, lots of class discussion and practice, and learning from the professor as well as other students and guest speakers. TRA200 last semester had a guest speaker every week, from all aspects of translation–we learned about interpreting, the history of translation (ancient and modern), the publishing industry and how to become a published translator, machine translation, and more. Translation isn’t studied as a practice in itself in many places, so Princeton is unique in that. All of the faculty in the department are published translators, and there is also a translator-in-residence. I’d highly recommend taking at least one course in the department if you’re at all interested. It’s also a very flexible certificate, and you can use related courses from language departments, linguistics, or psychology to count. As with all things at Princeton, there is also an independent work component–either your thesis or junior paper must incorporate translation in some regard. This is also pretty flexible, and you can speak with the departmental representative Yolanda Sullivan to get more information (she’s very nice!). "
18,is a 3.4 gpa good enough for grad school or is this a sign that i should abandon my academic ambitions and consider an alternative career as like a chef,"Response from Fallon: definitely depends on the field you’re trying to get into and so this is a much needed conversation to have with someone at the career center who can give you a much more accurate assessment. also, i’ve found not thinking about academic goals like this with an either/or mindset to be helpful and reassuring. hang in there, you got this!Response from Heisenberg:What Fallon said, but if you wanted a figure, an MIT EECS AO told me it was 3.5, so give or take 3.5 for other disciplines. So you’re in the ballpark (plus, research experience and letters of rec are more important anyway)"
19,where can I find the notification date / response deadline for HMEI internships? or what has it been in the past?,"Response from Olive:I don’t think it’s posted on the website and I think we get this question every year because it depends on the organization you apply for and their process, but it could be helpful to reach out to an HMEI contact and see if they can share anymore info"
20,Is the Liman fellowship selective?,"Response from Olive:I don’t know too much about it, but it seems they only award it to 4 students across all years and likely draws a lot of attention from pre-law students where internships are probably already pretty competitive, so I would say so"
21,"I'm a sophomore history student considering whether to take 3 seminars and a lecture course this coming semester. A couple of my friends have warned me against it, arguing that it will be too much work or too much class time... But I kind of want to try it. Any advice—or has anyone had experience w/ 3 seminars that they could share?",Response from Olive:personally don’t have this experience (haven’t even taken one 3 hour seminar) but I think you should do what you think is right and not what others think since everyone has their own learning style. if you prefer more discussed based and in-depth courses then seminars could be a really good fit for you. I think the extra work / time argument they claim isn’t really valid since meeting 1 day a week for 3 hours would just be a more condense version of meeting 2 or 3 times a week for shorter and with essentially the same amount of work depending on the professor. if they’re classes you’re really interested in and you can see yourself enjoying them and actively participating for the weekly meeting I would encourage you to at least try the arrangement and if by the second week you aren’t feeling it you can swap classes. readers with more extensive experience feel free to share!
22,is cps available/could i meet with a counselor during winter session?,Response from Olive:you should be able to since all campus offices should be reopened by now. if you need to schedule an initial consultation you can do so through the uhs portal or can call the office for other inquiries.
23,difference between class day and commencement day? Which do we get 6 tickets to?,Response from Olive:the commencement week events are summarized here. you’ll get 6 tickets for commencement
24,"Is there a best (or worst) time for senior sales (clothing and such) in terms of likelihood of getting traffic on your slides and actually selling stuff? Like I know there’s a whole bunch in the late spring, is it better to get ahead of those or does being part of a large group where people are used to looking at sales help?","Response from Heisenberg:Actually an interesting optimization problem, one could prob do research on this lol. I would say being part of the herd that sells at the same time could help in the manner that you referenced, though I’d probably try not to sell at a time when people are busy (late spring kinda sus?).Personally, if I was looking to buy, a standalone message in my inbox about your sale would catch my attention more than a stream of ppl trying to sell me their clothes. Certainly I would look at the stream of sellers too, but assuming I’m only looking to buy one batch of clothes from one seller and I pick one seller at random, the individual probability of an individual seller (say, you) successfully selling your stuff to me is less, I’d say, if you sell along this stream of other sellers compared to the standalone message."
