,Question,Answer
0,<p>I love you RTP</p>,<p>love you more</p>
1,<p>Are most people doing Wintersession or just staying home and Vibing?</p>,<p>Response from Chewy:</p><p>A good amount of people are doing each.</p>
2,<p>What do people wear for senior prom?</p>,<p>Response from Olive:</p><p>I would think any kind of typical prom attire would be okay but maybe dress a bit lighter since Dillon will probably be hot when it happens </p>
3,"<p>applying to the japan global seminar. a little unsure of if i should try to tailor my resume?? i am a cos major, so my resume is more tech focused. the only things on there that relate to the seminar is my coursework, my intended certificate in EAS, and (maybe?) a translating position for TED Talks</p>","<p>Response from Olive:</p><p>I think what you mentioned should be sufficient to add if it isn&rsquo;t much work to change up your resume, but you could also mention them elsewhere in the application if there&rsquo;s space for it. I think most seminars highly value student interest so getting that across is really important </p>"
4,<p>when does add drop start for spring?</p>,<p>Response from Olive:</p><p>the 23rd</p>
5,"<p>hi there, class of '21; i had never really considered grad school during my time at princeton, so no i never really focused on building strong relationships with professors and doing extra work in related fields of interest. however, since graduating im starting to really consider the possibility of grad school. does anyone have ideas/suggestions about how to navigate such a situation, especially if i didn't build close relationships with professors in undergrad?</p>","<p>Response from Chewy:</p><p>You can email some professors who have taught you in your field of interest about your interest in grad school and if they&rsquo;d be willing to discuss this opportunity with you, but you may need to follow up with them often to get a response.</p><p>Recommendation letters can also come from work supervisors who can vouch for your skills applicable to grad school. You can also ask for projects if your work is related to your field of interest.</p><p>It is very possible to get into grad school with a couple of years of work experience! You will be in good hands if your passion for research shines through.</p>"
6,<p>which courses/departments have the worst grade deflation?</p>,"<p>Response from Chewy:</p><p>It&rsquo;s hard to say since grade deflation can often be confused with classes that are graded harshly or have a different curving system.</p><p>Some classes have a higher threshold for an A as a 94 or 95 instead of a 93, for example, but we aren&rsquo;t sure which departments mandate that entirely across classes. Other departments with low GPAs, such as engineering and chemistry, are often very difficult, which isn&rsquo;t grade deflation but rather the nature of the subject.</p><p>You can take a look at the below link for GPAs per department.</p><p class=""npf_link"" data-npf='{""type"":""link"",""url"":""https://www.dailyprincetonian.com/article/2020/01/the-decline-and-fall-of-grade-deflation"",""display_url"":""https://www.dailyprincetonian.com/article/2020/01/the-decline-and-fall-of-grade-deflation"",""title"":""The decline and fall of grade deflation"",""description"":""Princeton has little to show for its experiment in “grade deflation,” except inflating grades that continue to lag behind those of its peer "",""site_name"":""The Princetonian"",""poster"":[{""media_key"":""f2e1c894e9e20e725630f6b4ea3a4696:fc10737f76afabaa-61"",""type"":""image/jpeg"",""width"":800,""height"":500}]}'><a href=""https://www.dailyprincetonian.com/article/2020/01/the-decline-and-fall-of-grade-deflation"" target=""_blank"">The decline and fall of grade deflation</a></p>"
7,<p>Will I be able to receive packages during wintersession?</p>,<p>Response from Chewy:</p><p>Yup.</p>
8,<p>favorite places to buy affordable business casual?</p>,"<p>Response from Ocean:</p><p>Thrift stores &ndash; Greene Street especially has this kind of stuff, but also Nearly New, Goodwill, or whatever your local thrift store is. </p><p>I also shop sales/markdowns at the higher-end stores, my favorite being Banana Republic because they always have a clearance section with good markdowns and because they specifically carry a size range that works for me. </p><p>readers? </p>"
9,"<p>tips for applying to study abroad programs (more specifically, the summer language learning programs)? I haven’t applied to any programs or study abroad as a freshman and I’m not sure what I can write about in essays etc… so any advice would be much appreciated! also wondering if I’m allowed to get a recommendation from a prof in the language department of the country which I’m applying to (granted I’ve taken a course in the dept) or if I should ask a prof/preceptor of a different course?</p>","<p>Response from Ocean:</p><p>Yes, you can get a rec from a prof in the language dept of the program you&rsquo;re applying to (as long as it doesn&rsquo;t specifically say that you can&rsquo;t, but I think that would be a bit weird). Usually they recruit students already taking courses in those depts anyway.</p><p>Make sure you&rsquo;ve completed the minimum requirements before you apply, for the language programs there are usually prerecs (typically 1-2 years worth of courses in the dept, but if you tested out then that counts too). </p><p>As for what to write&ndash;just talk about why you want to take the course! Speak a little bit about how it fits into your academic goals and plans, especially if you plan to continue with the language or use information about the language/country in your future studies or independent work. (As a freshman, it&rsquo;s a bit early to be thinking about independent work, but if anything comes to mind related to the program then that would be useful to add. Obviously they&rsquo;re not going to hold you to it 2-3 years later.)</p><p>If your studies are totally unrelated to the language/country, speak about why you&rsquo;re interested, why you study the language, and what you might bring to the classroom in terms of a different perspective, etc. </p>"
10,"<p>I'm interested in Princeton's summer program Kierkegaard in Copenhagen and will likely apply.  Do you happen to know how selective the program is -- acceptance rate and/or number of students who attend?  Also what's it like -- are the lectures interesting/challenging?  How heavy is the workload?  Any feedback on residential life -- dorms, dining, people etc.  Lastly, any advice on the application?  Thanks!</p>","<p>Response from Ocean:</p><p>From what I can tell based on a quick Google search, the last time this course was offered was Summer 2019. Even I wasn&rsquo;t at Princeton then, and I&rsquo;m an ancient senior. </p><p>As for selectivity, it will really depend on how many students apply, which can&rsquo;t really be accurately predicted after a 4 year gap (and since these things change year to year). If you&rsquo;re interested though, I&rsquo;d encourage you to apply! You can also email the contacts in OIP or the professor to ask more specific questions. <a href=""https://gps.princeton.edu/index.cfm?FuseAction=Programs.ViewProgramAngular&amp;id=11484"">Here&rsquo;s</a> the course brochure in GPS with more info. </p>"
11,"<p>Actually fuck the grade deflation here yo. I really, really wish I went to Brown now. OOF</p>","<p>Response from Chewy:</p><p>Princeton is quite tough, so it&rsquo;s ok to feel this! GPA doesn&rsquo;t really matter compared to your research and leadership in extracurricular activities toward your success in grad school, jobs, or anything else you&rsquo;re considering. Many classes here will give many As, so ask around!</p>"
12,<p>What happens if I call the CPS CARES line? Should I use a fake Caller ID?</p>,"<p>Response from Olive:</p><p>don&rsquo;t think we have experience with this since it&rsquo;s a relatively new resource, but you could do that or use other methods of anonymous calling like *67 to hide your number. I think in any scenario they would only ever report you if they have reason to believe that you would actually go through with an attempt rather than just expressing you have a feeling to do so</p>"
13,<p>have any seniors received tigerstay confirmation? they said you should receive confirmation within a few business days and I submitted the form within the first three minutes and they didn't close the form until the next day so just wondering if I was quick enough lol</p>,<p>Response from Chewy:</p><p>I got a tigerstay confirmation after my submission. It should come from the email tigerstay@princeton.edu. Check your spam just in case.</p>
14,<p>Are there good spaces on campus to do virtual therapy appointments? I have roommates so I’m not sure I will be able to do them in my room</p>,"<p>Response from Olive:</p><p>the usg put out <a href=""https://docs.google.com/document/d/13jcWns3U9S5HpQ7uHw5eNkwVJtTts0zI/edit"">this</a> resource last spring</p>"
15,<p>should all final grades be finalized already or are changes still being made? if so then when is the final final deadline?</p>,"<p>Response from Chewy:</p><p>Grades should&rsquo;ve been finalized by 1/9, so if they haven&rsquo;t been posted, you can request an update from your professor regarding this issue.</p>"
16,"<p>Translation is unique because translation is the best. You learn theory in some classes, practice in otheds, and discover real-world stakes of the presence and absence of compassion in translation and the devastating or life-improving effects it could have.</p>",<p>thanks for your perspective!</p>
17,<p>what's unique about Translation and Intercultural Communication majors at Princeton?</p>,"<p>readers?</p><p>Response from Ocean:</p><p>Translation &amp; Intercultural Communication isn&rsquo;t a major at Princeton, it&rsquo;s a certificate. </p><p>I&rsquo;m getting the certificate, and I enjoyed it very much. The classes are very interesting and engaging with amazing professors that help tailor the courses specifically to the strengths and knowledge of the students in the class. Because of Princeton&rsquo;s small class sizes, this works really well and the program is shaped around the principles of small seminars, lots of class discussion and practice, and learning from the professor as well as other students and guest speakers. TRA200 last semester had a guest speaker every week, from all aspects of translation&ndash;we learned about interpreting, the history of translation (ancient and modern), the publishing industry and how to become a published translator, machine translation, and more. </p><p>Translation isn&rsquo;t studied as a practice in itself in many places, so Princeton is unique in that. All of the faculty in the department are published translators, and there is also a translator-in-residence. I&rsquo;d highly recommend taking at least one course in the department if you&rsquo;re at all interested. It&rsquo;s also a very flexible certificate, and you can use related courses from language departments, linguistics, or psychology to count. </p><p>As with all things at Princeton, there is also an independent work component&ndash;either your thesis or junior paper must incorporate translation in some regard. This is also pretty flexible, and you can speak with the departmental representative Yolanda Sullivan to get more information (she&rsquo;s very nice!). </p>"
18,<p>is a 3.4 gpa good enough for grad school or is this a sign that i should abandon my academic ambitions and consider an alternative career as like a chef</p>,"<p>Response from Fallon: </p><p>definitely depends on the field you&rsquo;re trying to get into and so this is a much needed conversation to have with someone at the career center who can give you a much more accurate assessment. also, i&rsquo;ve found not thinking about academic goals like this with an either/or mindset to be helpful and reassuring. hang in there, you got this!</p><p>Response from Heisenberg:</p><p>What Fallon said, but if you wanted a figure, an MIT EECS AO told me it was 3.5, so give or take 3.5 for other disciplines. So you’re in the ballpark (plus, research experience and letters of rec are more important anyway)</p>"
19,<p>where can I find the notification date / response deadline for HMEI internships? or what has it been in the past?</p>,"<p>Response from Olive:</p><p>I don&rsquo;t think it&rsquo;s posted on the website and I think we get this question every year because it depends on the organization you apply for and their process, but it could be helpful to reach out to an HMEI contact and see if they can share anymore info</p>"
